attempt,success,complex idx,complex name,stoichiometry,note,ligand names,ligand stoichiometries,ligand charges,batch idx,batch name,metal,oxi state,spin,topology,similarity,total charge,optimization,isomers,random seed
136,False,,,C30H30N8O3Pd1S5,clashing ligands,"('unq_CSD-RIXJEN-03-a', 'unq_CSD-JOPDEZ-02-a', 'unq_CSD-HIPQUS-01-f')","('C19H17N5O2', 'C5H5N1O1S4', 'C6H8N2S1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
137,False,,,C50H40N7O2P1Pd1S3,clashing ligands,"('unq_CSD-CONXAH-03-a', 'unq_CSD-QITNUD-02-a', 'unq_CSD-TUSKOJ-01-a')","('C24H16N4', 'C8H7N1O2S3', 'C18H17N2P1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
138,False,,,C126H92N4O2Pd1S1,clashing ligands,"('unq_CSD-OCOPII-03-a', 'unq_CSD-UDAFUE-02-b', 'unq_CSD-MUZZAK-01-d')","('C18H13N1O2', 'C98H68N2', 'C10H11N1S1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
139,False,,,C60H51Cl1N8O3Pd1S1,non-planar tridentate,"('unq_CSD-WOFYEX-03-a', 'unq_CSD-IRENIE-02-a', 'unq_CSD-BIBYUJ-01-b')","('C21H15N3O3', 'C19H12Cl1N3', 'C20H24N2S1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
140,False,,,C49H64N10O2Pd1,clashing ligands,"('unq_CSD-ALAFUP-03-a', 'unq_CSD-COCTAR-02-a', 'unq_CSD-NUCBEU-01-a')","('C17H17N2', 'C20H36N6', 'C12H11N2O2')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
141,False,,,C48H36N6O7Pd1,clashing ligands,"('unq_CSD-ILAZIF-03-a', 'unq_CSD-NOHBEU-02-a', 'unq_CSD-LEGPOD-01-b')","('C17H13N3O1', 'C15H9O4', 'C16H14N3O2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
142,False,,,C48H55B1N8O4Pd1,non-planar tridentate,"('unq_CSD-GIJVOL-03-a', 'unq_CSD-COHWAY-02-a', 'unq_CSD-QIQGUV-01-d')","('C13H16B1N2O1', 'C14H13N4O2', 'C21H26N2O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
143,False,,,C36H42N6O3Pd1S3,non-planar tridentate,"('unq_CSD-PERNEF01-03-a', 'unq_CSD-MIWPOY-02-a', 'unq_CSD-BECYAK-01-a')","('C14H19N2O2', 'C14H13N2S3', 'C8H10N2O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
144,False,,,C64H52N5O3P1Pd1S2,non-planar tridentate,"('unq_CSD-LIGFOW-03-a', 'unq_CSD-NUSZIN-02-a', 'unq_CSD-BEFCOF-01-b')","('C12H15O1S2', 'C28H18N4O2', 'C24H19N1P1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
145,False,,,C52H70N3P1Pd1Si1,clashing ligands,"('unq_CSD-DEJHEF-03-a', 'unq_CSD-PEJWAD-02-a', 'unq_CSD-ROSSEA-01-c')","('C18H31N2', 'C19H18N1P1', 'C15H21Si1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
146,False,,,C85H69As1N5O2P1Pd1,non-planar tridentate,"('unq_CSD-CAWXUU-03-a', 'unq_CSD-KUBVEK-02-a', 'unq_CSD-KAZSIO-01-b')","('C45H31N4', 'C14H14N1O2', 'C26H24As1P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
147,False,,,C58H66I1N5O2Pd1,clashing ligands,"('unq_CSD-UYIZIM-03-a', 'unq_CSD-FUXYOP-02-a', 'unq_CSD-FERVUW-01-a')","('C23H29N1O2', 'C21H26N2', 'C14H11I1N2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
148,False,,,C63H74O2P2Pd1,clashing ligands,"('unq_CSD-OGULIL-03-a', 'unq_CSD-DECSIO-02-a', 'unq_CSD-YEYNIC-01-a')","('C14H23', 'C32H42O1P2', 'C17H9O1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
149,False,,,C29H38N4O2Pd1S1,non-planar tridentate,"('unq_CSD-SIXXEF-03-a', 'unq_CSD-SOTDIQ-02-a', 'unq_CSD-JOCBUZ-01-d')","('C10H16N2O1', 'C13H11N2S1', 'C6H11O1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
150,False,,,C58H72B1N11O2Pd1S5,non-planar tridentate,"('unq_CSD-LESJUR-03-a', 'unq_CSD-MAWNIJ-02-a', 'unq_CSD-BAGJUQ-01-b')","('C27H40B1N6S3', 'C19H16N4S1', 'C12H16N1O2S1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
151,False,,,C48H41N6O3P1Pd1S2,clashing ligands,"('unq_CSD-EBAZAL-03-a', 'unq_CSD-LIGYOQ-02-a', 'unq_CSD-VEJBIY-01-b')","('C16H13N4S1', 'C25H20N1O1P1', 'C7H8N1O2S1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
152,False,,,C112H101Br2F8N7Pd1,clashing ligands,"('unq_CSD-WEMWET-03-a', 'unq_CSD-QACBED-02-a', 'unq_CSD-DORZEQ-01-b')","('C57H59N3', 'C14H4Br2F8N2', 'C41H38N2')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
153,False,,,C63H42N8O3Pd1S1,clashing ligands,"('unq_CSD-TUBVAP-03-a', 'unq_CSD-SAWRIU-02-a', 'unq_CSD-GANXIE-01-a')","('C18H16N5S1', 'C30H18N1O1', 'C15H8N2O2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
154,False,,,C85H93N9O1P2Pd1,clashing ligands,"('unq_CSD-NATFUM-03-a', 'unq_CSD-EWUSUK-02-a', 'unq_CSD-IPOFOL-01-a')","('C46H54N7', 'C30H32N2P2', 'C9H7O1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
155,False,,,C71H85N9O2Pd1S1,non-planar tridentate,"('unq_CSD-IJEQIY-03-a', 'unq_CSD-TUXJOO-02-a', 'unq_CSD-BOQNUQ-01-a')","('C17H17N7O1', 'C18H19N2O1', 'C36H49S1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
156,False,,,C65H71As1N10Pd1S1Si2,clashing ligands,"('unq_CSD-TEVKAH-03-a', 'unq_CSD-TEZQAR-02-a', 'unq_CSD-BAFFOD-01-b')","('C36H30N6', 'C24H31As1N2Si2', 'C5H10N2S1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
157,False,,,C72H68N3O3P3Pd1S2,non-planar tridentate,"('unq_CSD-CEBFIZ-03-a', 'unq_CSD-PAZXAQ-02-b', 'unq_CSD-PESFEZ-01-b')","('C45H40P3S2', 'C16H12N1O1', 'C11H16N2O2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
158,False,,,C44H54N3O2P3Pd1,clashing ligands,"('unq_CSD-KEYCUO-03-a', 'unq_CSD-PEXMIO-02-a', 'unq_CSD-MUNZUR-01-a')","('C13H18N2O2', 'C6H16P2', 'C25H20N1P1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
159,False,,,C40H36F6N6O6Pd1Se1,non-planar tridentate,"('unq_CSD-FAKVOF-03-a', 'unq_CSD-BORFUM-02-a', 'unq_CSD-PAQPED-01-b')","('C13H14F6N1O1Se1', 'C20H13N5O1', 'C7H9O4')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
160,False,,,C42H34F5N7Pd1S1Si1,clashing ligands,"('unq_CSD-CEFFAX-03-a', 'unq_CSD-VEQVUI01-02-a', 'unq_CSD-SOMHUZ-01-a')","('C18H12N4S1', 'C15H13N2', 'C9H9F5N1Si1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
161,False,,,C44H45F1N4Pd1S1,clashing ligands,"('unq_CSD-KITYUH-03-a', 'unq_CSD-WUWFUQ-02-a', 'unq_CSD-POLYUN-01-b')","('C14H13N2S1', 'C22H28N2', 'C8H4F1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
162,False,,,C87H83F2N11O2Pd1,clashing ligands,"('unq_CSD-KIDPEU-03-b', 'unq_CSD-ZAZQEA-02-a', 'unq_CSD-XEXWII-01-a')","('C26H18N6O1', 'C22H13F2N2O1', 'C39H52N3')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
163,False,,,C53H66Cl1N5O1P2Pd1S1,clashing ligands,"('unq_CSD-ZUTTAM-03-a', 'unq_CSD-NOZSON-02-a', 'unq_CSD-QEJVOQ-01-a')","('C32H50N2P2', 'C14H12N1O1S1', 'C7H4Cl1N2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
164,False,,,C42H41N9O5Pd1S5,clashing ligands,"('unq_CSD-ULIXAR-03-a', 'unq_CSD-PADKIQ01-02-a', 'unq_CSD-IWAGOE-01-a')","('C13H13N5O2S2', 'C15H14N1S2', 'C14H14N3O3S1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
165,False,,,C36H63N5O1Pd1Si6,clashing ligands,"('unq_CSD-TAZYEY-03-a', 'unq_CSD-HAWZIR-02-a', 'unq_CSD-MIYXEX-01-a')","('C10H15N5', 'C13H39O1Si6', 'C13H9')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
166,False,,,C70H59N6O2P1Pd1,clashing ligands,"('unq_CSD-MUCDOD-03-a', 'unq_CSD-REJMEY-02-a', 'unq_CSD-VIGYES-01-c')","('C14H11N1O2', 'C11H10N4', 'C45H38N1P1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
167,False,,,C32H32F1N7O4Pd1S1,clashing ligands,"('unq_CSD-ROVCAI-03-a', 'unq_CSD-TANLOJ-02-a', 'unq_CSD-IGIHEL-01-b')","('C19H16F1N4O1', 'C9H10N1O2S1', 'C4H6N2O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
168,False,,,C39H42N8O2Pd1,non-planar tridentate,"('unq_CSD-UYOWIP-03-a', 'unq_CSD-CIVMID-02-a', 'unq_CSD-BIQXEE-01-b')","('C14H15N2O2', 'C11H18N6', 'C14H9')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
169,False,,,C45H50N8O4Pd1,clashing ligands,"('unq_CSD-MANZEK-03-a', 'unq_CSD-WALNEF-02-a', 'unq_CSD-MASKID-01-a')","('C22H21N3O2', 'C12H18N2O2', 'C11H11N3')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
170,False,,,C45H47N7O6Pd1,clashing ligands,"('unq_CSD-NAKPOF-03-a', 'unq_CSD-ODELAN-02-a', 'unq_CSD-PAGWAY-01-b')","('C15H14N6', 'C18H15O6', 'C12H18N1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
171,False,,,C56H57As1N2O7P2Pd1S2,clashing ligands,"('unq_CSD-ODOGOF-03-a', 'unq_CSD-BISLUN-02-a', 'unq_CSD-VAHSII-01-a')","('C6H14As1N2O4', 'C11H11O2S2', 'C39H32O1P2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
172,False,,,C52H47N6O3P1Pd1S1Se1,clashing ligands,"('unq_CSD-MULZIC-03-a', 'unq_CSD-LALRIB-02-a', 'unq_CSD-PIXCAB-01-a')","('C28H26N1P1Se1', 'C9H10N3O1S1', 'C15H11N2O2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
173,False,,,C48H35Cl1N6O4Pd1S6,clashing ligands,"('unq_CSD-UQUNUS-03-a', 'unq_CSD-JAXNEB-02-a', 'unq_CSD-OZIZII-01-a')","('C19H11N3S4', 'C23H20Cl1N2', 'C6H4N1O4S2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
174,False,,,C40H47N2O4P1Pd1,non-planar tridentate,"('unq_CSD-TALTIM-03-a', 'unq_CSD-CIFTAP-02-b', 'unq_CSD-MOXDOS-01-a')","('C14H17O4', 'C18H12N2', 'C8H18P1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
175,True,29.0,UBUTUYIQ,C21H28Br1N7O3Pd1,optimized,"('unq_CSD-SACXEA-03-a', 'unq_CSD-DEZBES-02-a', 'unq_CSD-EZAXOU-01-a')","('C15H13N4O2', 'C2H7N3O1', 'C4H8Br1')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
176,True,30.0,UQUPITIL,C53H51Cl1N7O3P1Pd1,optimized,"('unq_CSD-FABBES-03-a', 'unq_CSD-QAJFIS-02-a', 'unq_CSD-QUGZOK-01-b')","('C15H11Cl1N2O2', 'C14H11N3O1', 'C24H29N2P1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
177,False,,,C65H91N7O2P2Pd1S1Si2,clashing ligands,"('unq_CSD-MAPSOL-03-a', 'unq_CSD-RESWIY-02-a', 'unq_CSD-WOQMUK-01-d')","('C31H62N2P2Si2', 'C14H13N3O2S1', 'C20H16N2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
178,False,,,C32H35Cl2N7O1Pd1S1,clashing ligands,"('unq_CSD-NUSFIS-03-a', 'unq_CSD-AGODEG-02-a', 'unq_CSD-KEGJEO-01-b')","('C14H20Cl1N3O1', 'C10H6S1', 'C8H9Cl1N4')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
179,False,,,C87H119N7O4Pd1S4,clashing ligands,"('unq_CSD-DAPGUY-03-a', 'unq_CSD-GATGUE-02-a', 'unq_CSD-POMYUO-01-b')","('C19H27N5S2', 'C52H70O4S2', 'C16H22N2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
180,True,31.0,FIZOGINE,C40H39B1N8O5Pd1S1,optimized,"('unq_CSD-TUWMOO-03-a', 'unq_CSD-EPMPYP-02-a', 'unq_CSD-PEWSOA-01-a')","('C23H19N3O2', 'C10H16B1N4', 'C7H4N1O3S1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
181,False,,,C28H47N7Pd1,clashing ligands,"('unq_CSD-TALSAC-03-a', 'unq_CSD-CUPCEV10-02-a', 'unq_CSD-PEFHOX-01-a')","('C17H22N4', 'C5H12N2', 'C6H13N1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
182,False,,,C61H61B1N11O3P1Pd1S1,non-planar tridentate,"('unq_CSD-UXIYOR-03-a', 'unq_CSD-RAZWIZ-02-a', 'unq_CSD-PERJOM-01-b')","('C16H20B1N8', 'C20H19N2O1', 'C25H22N1O2P1S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
183,False,,,C43H40Cl1N9O1Pd1S1,non-planar tridentate,"('unq_CSD-LOPVIV-03-a', 'unq_CSD-GUQWAQ-02-a', 'unq_CSD-LIDGIQ-01-a')","('C14H11N3O1S1', 'C19H20Cl1N3', 'C10H9N3')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
184,False,,,C45H56N10O5Pd1,clashing ligands,"('unq_CSD-PCSCUP20-03-a', 'unq_CSD-HIPNEC-02-a', 'unq_CSD-HIBPEO-01-a')","('C13H11N3O2', 'C12H24N4O2', 'C20H21N3O1')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
185,False,,,C51H71N7O2Pd1S5,clashing ligands,"('unq_CSD-LEJCUZ-03-a', 'unq_CSD-REJQEG-02-a', 'unq_CSD-VECHIU-01-b')","('C28H39N2S1', 'C16H23N5', 'C7H9O2S4')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
186,True,32.0,UQUJIRON,C40H43N9O2Pd1Si1,optimized,"('unq_CSD-LUXYOV-03-a', 'unq_CSD-OFAGIM-02-b', 'unq_CSD-ADEHEX-01-b')","('C25H22N6', 'C4H10Si1', 'C11H11N3O2')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
187,False,,,C52H45N9O2Pd1Si1,clashing ligands,"('unq_CSD-XUFBEG-03-a', 'unq_CSD-BAJTEL-02-a', 'unq_CSD-HEHCUW-01-c')","('C23H15N4O1', 'C15H18N1Si1', 'C14H12N4O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
188,False,,,C69H73N7O4Pd1,clashing ligands,"('unq_CSD-DACVEM-03-a', 'unq_CSD-NALXOQ-02-a', 'unq_CSD-LUZRAA-01-a')","('C18H13N3O2', 'C30H42N2', 'C21H18N2O2')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
189,False,,,C54H69F3N8O2P2Pd1,clashing ligands,"('unq_CSD-MILDET-03-a', 'unq_CSD-IHICEJ-02-a', 'unq_CSD-AYIGEW-01-b')","('C37H50N2P2', 'C10H12F3N2O1', 'C7H7N4O1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
190,False,,,C56H48Br1N6O12P1Pd1S1,clashing ligands,"('unq_CSD-NOFVAF-03-a', 'unq_CSD-PUVSUX-02-a', 'unq_CSD-VUKYIK-01-a')","('C14H9N3O6', 'C19H17N3O4S1', 'C23H22Br1O2P1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
191,False,,,C54H64N5O3P1Pd1S1,non-planar tridentate,"('unq_CSD-IBIHUY-03-a', 'unq_CSD-HINJAS-02-a', 'unq_CSD-BENFAE-01-b')","('C23H18N2P1S1', 'C11H14N1O2', 'C20H32N2O1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
192,False,,,C44H46Cl1F6N3O1P2Pd1S1,clashing ligands,"('unq_CSD-OKAPOH-03-a', 'unq_CSD-MOMQIP-02-a', 'unq_CSD-UTEBUS-01-c')","('C17H29N1O1P1', 'C13H9N2S1', 'C14H8Cl1F6P1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
193,False,,,C28H34Br1N5O3Pd1S3,non-planar tridentate,"('unq_CSD-DAMCAW-03-a', 'unq_CSD-KIZPAM-02-a', 'unq_CSD-JOKHOJ-01-a')","('C7H14N1S2', 'C14H13N2O3S1', 'C7H7Br1N2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
194,False,,,C84H76N5O2P1Pd1S1,clashing ligands,"('unq_CSD-UVAHUX-03-a', 'unq_CSD-RECYOQ-02-a', 'unq_CSD-QEGZOU-01-a')","('C15H19N3O1S1', 'C56H48N2', 'C13H9O1P1')","(-2.0, 0.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
195,False,,,C32H33B1F1N13O2Pd1,non-planar tridentate,"('unq_CSD-WAPNAE-03-a', 'unq_CSD-SUQSAY-02-a', 'unq_CSD-OCORUU-01-a')","('C12H19B1N9', 'C8H6', 'C12H8F1N4O2')","(-1.0, 0.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
196,False,,,C44H66N3O1P1Pd1S3,non-planar tridentate,"('unq_CSD-LIKVOQ-03-a', 'unq_CSD-AKEVER-02-a', 'unq_CSD-DITDAL-01-b')","('C7H15N1S3', 'C15H14N1O1', 'C22H37N1P1')","(-2.0, -1.0, 1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
197,False,,,C45H41N7O1Pd1S1,clashing ligands,"('unq_CSD-XEKHIG-03-a', 'unq_CSD-GUKSEM-02-a', 'unq_CSD-DOLGOC-01-c')","('C18H14N3O1', 'C19H19N2', 'C8H8N2S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
198,False,,,C66H68N12O3Pd1,non-planar tridentate,"('unq_CSD-HEFSIX-03-a', 'unq_CSD-SIXREZ-02-a', 'unq_CSD-MAQYIQ-01-d')","('C22H29N5O2', 'C43H38N3', 'C1H1N4O1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
199,False,,,C45H42Br1Cl1N8O7Pd1,clashing ligands,"('unq_CSD-KEQVOS-03-a', 'unq_CSD-WIZRIJ-02-a', 'unq_CSD-DAKNEK-01-a')","('C13H17Br1Cl1N2O1', 'C15H12N1O4', 'C17H13N5O2')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
200,False,,,C74H78N8O3Pd1S1,non-planar tridentate,"('unq_CSD-APANAJ-03-a', 'unq_CSD-PIFSEE-02-a', 'unq_CSD-BEHFIF-01-b')","('C48H49N4O2', 'C23H25N2', 'C3H4N2O1S1')","(-1.0, -1.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
201,False,,,C51H78Br1N3P2Pd1,clashing ligands,"('unq_CSD-VEMYIY-03-a', 'unq_CSD-PADFAC-02-a', 'unq_CSD-QAXCIB-01-b')","('C29H55N1P2', 'C15H17N2', 'C7H6Br1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
202,False,,,C91H86N5O4P1Pd1S2,clashing ligands,"('unq_CSD-UTEDUV-03-a', 'unq_CSD-CATPAR-02-a', 'unq_CSD-BOZNIO-01-a')","('C15H23N3O2', 'C66H49N2', 'C10H14O2P1S2')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
203,False,,,C64H75N6O4P1Pd1S2,clashing ligands,"('unq_CSD-WOQNUM-03-a', 'unq_CSD-MOWPIY-02-a', 'unq_CSD-PASQEI-01-c')","('C32H30N4O1', 'C17H22N2O2P1S2', 'C15H23O1')","(0.0, -1.0, -1.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
204,False,,,C25H35N5Pd1S1,non-planar tridentate,"('unq_CSD-BAXTED-03-a', 'unq_CSD-KARQAW-02-a', 'unq_CSD-AZEREC-01-b')","('C17H21N3', 'C4H8S1', 'C4H6N2')","(0.0, -2.0, 0.0)",0,Octahedral_Pd(II),Pd,+2,0,"(3, 2, 1)","(1, 2, 3)",0,True,Generate Lowest Energy,0
